Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Timestamp, Marker Channel, Timestamp (Formatted)
0.0,-62.44697951013222,100.40322416042908,83.01268936647102,-212.06167723750696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744621045.978259,9.0, 2025-04-14 09:57:25.978
1.0,-69.46677172696218,98.07700638798995,100.76225455617532,-206.10775650804865,0.0,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621045.979124,9.0, 2025-04-14 09:57:25.979
1.0,-63.243578200694174,100.00679476512596,98.72774898028,-188.410549917724,0.0,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621045.9792054,9.0, 2025-04-14 09:57:25.979
2.0,-54.08456320920959,99.15035767527296,94.81581362662835,-199.4881335864775,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.008041,9.0, 2025-04-14 09:57:26.008
2.0,-61.36988832289353,94.53906102990732,85.66427843505517,-216.18304698867723,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.008098,9.0, 2025-04-14 09:57:26.008
3.0,-67.43226615106687,90.27183518046512,96.75308180367574,-202.13598275510597,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0085375,9.0, 2025-04-14 09:57:26.008
3.0,-52.326810230035335,95.67225071648136,97.47862239507958,-193.89698315272108,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0085852,9.0, 2025-04-14 09:57:26.008
4.0,-46.85907649481669,97.69927649246527,84.66198524693027,-191.8923967764713,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0092664,9.0, 2025-04-14 09:57:26.009
4.0,-47.56965748639777,89.70337038720027,73.33382828114554,-208.57983037875965,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0093129,9.0, 2025-04-14 09:57:26.009
5.0,-54.03594450978562,90.70940347528084,89.94646388432011,-201.28328556520864,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0100887,9.0, 2025-04-14 09:57:26.010
5.0,-41.87752975383773,100.9567293538712,99.9544361657463,-184.60707166278732,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0101478,9.0, 2025-04-14 09:57:26.010
6.0,-47.20688719069585,88.67863779934123,74.57547506643459,-192.6702959672548,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0381024,9.0, 2025-04-14 09:57:26.038
6.0,-47.27046548994258,82.54894177196547,67.70901874778792,-191.89613667642695,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0381591,9.0, 2025-04-14 09:57:26.038
7.0,-55.146694796625525,77.85162742761895,85.17435154085979,-197.56582500925288,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0387769,9.0, 2025-04-14 09:57:26.038
7.0,-46.649642097298056,80.98566359048709,82.97903026686981,-175.3956980719231,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.03889,9.0, 2025-04-14 09:57:26.038
8.0,-44.47676022304222,86.83112722123042,77.11860703630373,-181.87320479517803,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0683467,9.0, 2025-04-14 09:57:26.068
8.0,-52.5250249276869,66.88998065749183,59.35782214673236,-186.80239293677727,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0684357,9.0, 2025-04-14 09:57:26.068
9.0,-53.36650241771713,69.16757973050699,65.77175057074055,-176.79068075539544,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.0687618,9.0, 2025-04-14 09:57:26.068
9.0,-43.80731813097373,76.14997294778004,43.119176539126784,-171.64831831632182,0.0160000007599592,0.0800000037997961,0.0,0.0,0.0,0.0,0.0,0.0,1744621046.068881,9.0, 2025-04-14 09:57:26.068
10.0,-24.81236625602469,94.10897253500298,-12.26126200472936,-150.2037319703959,0.0160000007599592,0.0800000037997961,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.0693276,9.0, 2025-04-14 09:57:26.069
10.0,-26.84687183192,93.92197753721848,-63.91302029276267,-157.75458998093382,0.0160000007599592,0.0800000037997961,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.069383,9.0, 2025-04-14 09:57:26.069
11.0,-27.392897225450724,93.75368203921244,-72.48861089115962,-148.019630396273,0.0160000007599592,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.0703936,9.0, 2025-04-14 09:57:26.070
11.0,-15.399038067553192,96.55860700597988,-58.31065015913919,-134.46997285680845,0.0160000007599592,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.070452,9.0, 2025-04-14 09:57:26.070
12.0,-15.11106577096507,100.85201215511188,-35.70669482694939,-139.0476104025729,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.098131,9.0, 2025-04-14 09:57:26.098
12.0,-26.510280835907903,85.82509413314983,-33.395436654333025,-162.84833372058347,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.0981934,9.0, 2025-04-14 09:57:26.098
13.0,-34.04617924662307,74.61661396594718,-9.979923031758515,-164.11615980556235,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.0987856,9.0, 2025-04-14 09:57:26.098
13.0,-23.97088876599446,79.2765293107368,3.076067713554949,-155.00576351350173,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.0988612,9.0, 2025-04-14 09:57:26.098
14.0,-25.421969948802143,79.13441311242059,16.390111555811018,-164.25827600387856,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.128206,9.0, 2025-04-14 09:57:26.128
14.0,-35.3327048313804,62.46193910995498,20.859292002860457,-165.4662636895664,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.128438,9.0, 2025-04-14 09:57:26.128
15.0,-37.73372060293332,69.21619842993096,45.27335891360417,-171.1733510219492,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.128621,9.0, 2025-04-14 09:57:26.128
15.0,-31.461908377241343,64.88165438128635,53.80033081257716,-160.948464543093,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1286695,9.0, 2025-04-14 09:57:26.128
16.0,-24.213982263114303,72.67934578889981,60.14694103738293,-153.67809902923182,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1293352,9.0, 2025-04-14 09:57:26.129
16.0,-38.4817005940713,54.709126501809806,58.32934965891764,-169.6586915398948,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1293876,9.0, 2025-04-14 09:57:26.129
17.0,-40.14221617439762,50.5241784513928,71.50501720281318,-158.41655227309093,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1301973,9.0, 2025-04-14 09:57:26.130
17.0,-29.255367403384295,57.98153896303848,93.38343194359912,-155.9108193027787,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1302483,9.0, 2025-04-14 09:57:26.130
18.0,-35.69173522712663,53.74423231324181,81.12403988884762,-164.84544029692188,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1582754,9.0, 2025-04-14 09:57:26.158
18.0,-38.38820309517905,40.06367827532813,67.10315495496616,-163.74964960990474,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1583316,9.0, 2025-04-14 09:57:26.158
19.0,-42.06826465157792,42.51705264626071,84.0224623545073,-169.51657534157857,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1588004,9.0, 2025-04-14 09:57:26.158
19.0,-39.40545588312671,49.15163516765461,83.40911876177415,-154.5420159189962,0.0,0.0320000015199184,0.9920000471174716,0.0,0.0,0.0,0.0,0.0,1744621046.1588497,9.0, 2025-04-14 09:57:26.158
20.0,-39.450334682594985,43.6315428330563,72.30909569328651,-160.22666385164484,0.0,0.0320000015199184,0.5120000243186951,0.0,0.0,0.0,0.0,0.0,1744621046.1882496,9.0, 2025-04-14 09:57:26.188
20.0,-31.368410878349096,54.15936120832339,70.62614071322605,-162.2088108281605,0.0,0.0320000015199184,0.5120000243186951,0.0,0.0,0.0,0.0,0.0,1744621046.1883326,9.0, 2025-04-14 09:57:26.188
21.0,-43.69512113230303,46.96005379362032,68.14284714264795,-161.37481313804165,0.0,0.0640000030398368,0.5120000243186951,0.0,0.0,0.0,0.0,0.0,1744621046.1885953,9.0, 2025-04-14 09:57:26.188
